3783 11264
9 1326 1
55 3106 1
177 880 1
348 494 1
197 3782 -1
45 126 1
40 370 1
2 261 1
144 1098 1
25 797 1
77 160 1
797 1028 1
86 571 1
5 55 1
14 377 1
301 402 1
11 3233 1
434 626 1
177 3692 1
14 353 1
2 936 1
631 3150 1
381 1001 1
7 1414 1
14 1902 1
38 1124 1
41 862 1
3 571 1
700 1555 1
277 379 1
84 172 1
144 158 1
45 205 1
823 2416 1
42 3466 -1
5 1864 1
15 841 1
514 2076 1
144 3513 1
9 102 1
124 816 1
84 91 1
223 734 1
0 711 1
327 446 1
263 2125 1
1 184 1
46 279 1
2 350 1
0 2845 1
688 800 1
94 286 1
71 545 1
34 2478 1
22 847 1
95 3424 1
158 443 1
467 3730 1
88 2042 1
81 979 1
9 144 1
372 1348 1
15 236 1
337 3700 1
17 3743 1
38 136 1
326 343 1
57 196 1
1234 3464 -1
0 2897 1
39 850 1
40 2256 1
57 750 1
178 227 1
243 3773 1
31 39 1
35 55 1
172 1031 1
16 1489 1
1788 3464 1
21 3778 -1
44 536 1
129 2550 1
101 1255 1
146 186 1
6 10 -1
797 957 1
274 863 1
10 35 1
152 2638 1
56 1741 1
88 202 1
298 712 1
72 82 1
225 3697 -1
237 1623 1
253 1266 1
459 704 1
66 254 1
2 172 1
203 786 1
11 92 1
1156 3773 1
3313 3590 1
1715 2734 1
14 3730 -1
19 151 1
6 1151 1
130 1403 1
49 777 1
19 3695 1
71 131 1
1200 1585 1
75 2045 1
403 472 1
16 354 1
875 1775 1
44 283 1
37 1519 1
165 271 1
133 175 1
215 352 1
146 3782 1
3185 3216 1
176 1552 1
51 1327 1
1 503 1
330 491 1
116 1313 1
92 3411 1
16 141 1
5 3730 -1
0 3214 1
1 3678 -1
0 1481 1
146 1538 1
23 153 1
242 1176 1
71 446 1
1 256 1
180 533 1
2381 3558 1
84 88 1
299 480 1
103 490 -1
565 910 1
182 724 1
28 105 1
9 155 1
0 3172 1
302 2044 1
125 229 1
26 370 1
10 3742 -1
77 2738 1
181 659 1
175 208 1
41 608 1
135 257 1
165 277 1
6 3471 1
2 346 1
508 999 1
411 3336 1
47 2740 1
95 524 1
13 32 1
153 3464 1
96 114 1
96 918 1
84 398 1
78 2529 1
47 612 1
126 455 1
3776 3777 1
17 90 1
911 1622 1
119 453 1
483 525 1
39 378 1
261 430 1
323 2582 1
31 671 1
77 510 1
94 2329 1
56 1479 1
43 1086 1
40 204 1
123 395 1
158 1098 1
901 3564 -1
0 2763 1
384 925 1
18 3584 1
4 3769 -1
57 119 1
303 359 1
3464 3596 -1
583 1267 1
208 324 1
163 760 1
78 2693 1
6 1515 1
113 245 1
24 40 1
1288 2145 1
7 77 -1
469 1226 1
3137 3773 1
307 375 1
510 2036 1
15 222 1
7 640 1
47 2676 1
5 3732 -1
113 468 -1
0 2585 1
4 32 1
72 154 1
63 175 -1
225 3464 -1
135 227 1
316 914 1
68 2862 1
80 246 1
296 720 1
1699 2670 1
408 1286 1
47 481 1
128 166 1
177 2151 1
292 472 1
60 1813 1
364 712 1
277 430 1
3464 3729 -1
553 1522 1
128 1095 1
178 1603 1
3 3579 1
99 123 1
8 233 1
140 750 1
172 244 1
92 1864 1
2335 3542 -1
0 3775 1
176 638 1
111 426 1
1 3781 -1
4 91 1
31 286 1
7 400 -1
1 1522 1
773 2474 1
679 2111 1
851 1638 1
173 774 -1
670 1122 1
32 734 1
16 65 1
15 2002 1
95 497 1
563 3730 1
41 186 1
480 627 1
155 2155 1
33 57 1
0 502 1
6 3772 -1
227 747 1
9 2518 1
858 2098 1
32 2251 1
2335 3493 1
707 3668 -1
6 496 1
0 1381 1
85 93 1
27 1449 1
914 1406 1
633 2206 1
4 1853 1
0 2367 1
78 2674 1
14 1350 1
2 110 1
0 1509 1
135 2405 1
62 564 1
3 201 1
0 1355 1
306 417 1
89 3742 1
535 991 1
28 1187 1
50 3781 1
10 20 1
94 395 1
117 291 1
252 665 1
59 301 1
2 747 1
4 99 1
6 160 1
26 701 1
158 271 1
10 21 1
257 3731 1
610 2516 1
48 1873 1
3 3453 1
471 2479 1
6 3603 -1
42 586 1
95 1552 1
563 1617 1
7 3158 1
326 3519 1
29 1183 1
1894 3389 1
5 329 1
18 1577 1
10 397 1
504 668 1
104 288 1
14 650 1
32 1501 1
4 337 -1
32 311 1
85 1592 1
26 3773 1
240 823 1
84 3414 1
136 696 1
8 631 1
1 236 1
1475 1720 1
62 2482 1
42 2935 1
2397 3182 1
167 192 1
121 3743 1
992 1419 1
8 612 1
32 176 1
162 397 1
1878 3396 1
7 3452 -1
1119 3617 1
14 229 1
73 1262 1
540 2067 1
207 483 1
44 1946 1
84 176 -1
123 171 1
14 948 1
64 785 1
15 1663 1
461 1877 1
131 937 1
456 3132 1
4 433 1
57 124 1
98 128 1
91 308 1
13 34 -1
203 803 1
16 76 1
14 268 1
210 1285 1
178 3016 1
106 359 1
146 689 1
113 3513 1
9 112 -1
125 557 1
59 3781 1
1340 3473 1
128 1608 1
184 1379 1
45 809 1
359 3566 -1
474 3584 1
31 184 1
568 583 1
8 134 1
62 844 1
5 1775 1
102 1316 1
10 2914 1
440 513 1
29 3519 -1
176 586 1
126 952 1
32 80 1
153 161 1
166 368 1
1 13 1
264 489 1
2355 2357 1
346 797 1
114 196 1
3 366 1
1988 2696 1
100 151 1
33 1377 1
370 522 1
21 79 1
226 3482 1
3 467 1
30 249 1
153 176 1
3 90 1
50 671 1
0 67 1
601 3753 1
50 132 1
120 2117 1
2 1546 1
48 3614 1
628 987 1
936 3729 -1
6 1756 1
28 884 1
354 472 1
113 278 1
6 2301 1
47 71 1
1 84 1
192 248 1
3512 3780 1
692 693 1
3 1053 1
113 3501 -1
957 3682 1
638 797 1
5 1370 1
72 261 1
76 402 1
13 267 1
0 222 1
110 206 1
301 333 1
424 467 1
28 495 1
9 189 1
56 406 1
437 3463 -1
176 2285 1
136 3572 1
251 1228 1
6 370 1
2335 3657 1
235 1213 1
11 1161 1
989 2457 1
198 314 1
158 3767 -1
85 113 1
1021 3781 1
86 191 1
61 1780 1
120 2854 1
2 3519 1
111 300 1
29 122 1
21 2816 1
55 196 1
40 1161 1
1036 1328 1
13 41 1
187 271 1
144 3738 1
18 162 1
936 3690 1
2 1338 1
27 1248 1
169 1136 1
161 963 1
7 50 1
1702 2087 1
22 1918 1
0 2382 1
8 13 1
463 496 1
1690 3773 -1
94 1888 1
168 446 1
18 48 1
12 1367 1
326 327 1
1152 3589 -1
71 261 1
3482 3622 -1
133 139 1
2 32 -1
21 123 1
128 1407 1
3 771 1
332 3782 -1
10 307 1
663 1278 1
9 136 1
12 3045 1
86 1879 1
189 797 -1
33 42 1
1461 3728 1
115 1042 1
1348 2291 1
939 1132 1
34 47 1
29 144 1
176 620 1
6 683 1
244 1185 1
188 1505 1
113 3564 1
24 30 1
455 1153 1
7 24 1
9 139 1
21 43 1
57 110 1
176 3780 -1
926 3742 1
47 2115 1
7 3665 -1
128 297 1
237 3260 1
36 3730 1
4 279 1
372 751 1
31 66 1
22 2442 1
715 912 1
26 103 1
155 3740 1
0 3117 1
2 589 1
28 42 1
40 141 1
2 344 1
50 176 1
224 441 1
122 127 1
251 1675 1
2 3274 1
180 3760 -1
117 648 1
5 3154 1
7 1690 1
2410 3493 1
910 1913 1
160 622 1
528 2315 1
10 315 1
12 1818 1
31 141 1
10 84 -1
9 21 1
14 245 1
155 210 1
0 2891 1
182 573 1
152 868 1
91 176 1
72 135 1
3 36 1
15 2444 1
823 3593 -1
120 2207 1
1703 2691 1
458 1883 1
78 1703 1
104 162 1
41 2154 1
50 64 1
715 2494 1
47 3781 1
146 962 1
24 165 1
2 153 1
5 3065 1
2 3773 1
3696 3758 -1
11 1552 1
36 569 1
1 380 1
382 1646 1
12 3049 1
34 1589 1
59 175 1
115 3703 1
1 62 1
1521 3715 -1
227 317 1
0 1364 1
1877 1879 1
98 352 1
100 466 1
198 878 1
18 206 1
391 1507 1
5 46 1
10 319 1
12 3071 1
10 64 1
35 701 1
32 458 1
193 1153 1
127 544 1
186 301 1
4 434 1
128 772 1
423 637 1
94 184 1
23 92 1
0 34 1
48 119 1
2 207 1
12 278 1
202 1852 1
459 1854 1
0 3155 1
3 130 1
1456 1476 1
6 483 1
17 732 1
49 662 1
490 3593 1
273 864 1
472 998 1
37 360 1
13 46 1
210 686 1
2 1575 1
96 806 1
94 3610 1
250 1712 1
623 2645 1
78 1704 1
136 1690 1
30 91 1
183 3238 1
52 1690 1
45 2260 1
4 3692 -1
143 234 1
0 111 1
20 88 1
1 563 1
94 204 1
1840 3773 1
44 1075 1
1047 1810 1
42 245 1
89 136 1
50 637 1
254 1476 1
3 465 1
241 3692 1
640 1223 1
15 186 1
68 2162 1
130 3211 1
83 137 1
16 38 1
155 484 1
349 3575 1
274 1120 1
80 3249 1
518 1287 1
10 797 -1
105 535 1
403 1955 1
11 334 1
64 1661 1
218 369 1
5 3593 1
155 1494 1
81 2335 -1
14 497 1
258 873 1
383 540 1
28 248 1
257 2052 1
281 924 1
216 448 1
32 3565 1
39 631 1
12 2385 1
537 1240 1
69 3758 -1
451 3781 1
148 2293 1
584 3588 1
29 3099 1
474 1626 1
54 231 1
734 2764 1
8 2818 1
34 63 1
196 590 1
490 1146 -1
292 504 1
85 245 1
8 122 1
198 256 -1
50 144 1
646 3701 -1
116 505 1
113 1902 1
28 88 1
628 3742 -1
391 1160 1
356 660 1
35 196 1
0 94 1
968 2213 1
443 562 1
165 3464 1
155 319 1
0 2712 1
5 30 1
98 1992 1
177 1564 1
189 800 1
338 2483 1
50 2142 1
0 2351 1
45 257 1
116 3766 1
581 1690 1
25 294 1
2 2294 1
191 268 1
0 612 1
34 79 -1
532 775 1
44 224 1
178 1110 1
176 1040 1
31 200 1
15 1426 1
9 1672 1
42 3780 -1
10 686 1
86 290 1
127 1875 1
12 3607 -1
208 564 1
8 1047 1
115 3471 1
33 334 1
37 1046 1
3 2464 1
291 431 1
771 999 1
138 187 1
68 2152 1
14 1893 1
301 3222 1
5 2291 1
753 754 1
1037 3464 1
184 686 1
161 2257 1
139 215 1
388 2997 1
668 2533 1
2 1823 1
183 324 1
29 284 -1
575 578 1
1548 3265 1
88 586 1
120 577 1
1050 1172 1
6 695 1
129 2571 1
5 3364 1
1354 1543 1
69 210 1
75 96 1
29 197 1
6 3736 -1
593 1521 1
3 380 1
83 774 1
848 3742 1
611 675 1
15 1913 1
439 513 1
1 671 1
10 3268 1
4 3625 -1
76 264 1
459 511 1
2 7 1
6 1307 1
20 1297 1
1803 2089 1
429 3687 -1
15 99 1
2 122 1
84 287 1
6 3706 -1
24 738 1
6 3682 -1
164 3495 -1
422 1717 1
211 1602 1
14 95 1
25 317 1
715 1605 1
14 69 1
679 1017 1
169 685 1
47 1716 1
3778 3782 1
29 3778 -1
227 812 1
52 64 1
53 3742 -1
151 250 1
1 20 1
0 2755 1
707 3560 -1
25 1058 1
25 1029 1
2395 3482 -1
7 644 1
1 1231 1
87 1200 1
129 925 1
35 117 1
50 2132 1
27 2021 1
281 918 1
33 80 1
4 290 1
56 3757 1
4 1375 1
13 176 1
453 602 1
257 1786 1
4 221 1
738 1330 1
225 1988 1
365 654 1
26 885 1
106 316 1
20 265 1
7 3506 -1
155 288 1
26 3479 1
119 140 1
45 2271 1
53 530 1
629 1709 1
8 328 1
1073 1207 1
11 814 1
42 392 1
103 375 1
10 1291 1
797 1145 1
149 1426 1
141 279 1
154 3168 1
438 624 1
198 2323 1
2 173 1
65 99 1
45 3031 1
0 2226 1
8 14 1
243 1040 1
225 322 1
201 1010 1
2 884 1
5 244 1
6 3764 -1
349 1940 1
7 3464 1
164 222 1
1 768 1
22 166 1
70 2222 1
112 187 1
57 1382 1
0 221 1
152 857 1
618 3739 -1
289 903 1
9 3616 1
93 351 1
1254 1637 1
24 1325 1
113 125 1
127 3320 1
5 187 1
47 1419 1
5 6 1
0 3273 1
9 1166 1
11 1071 1
308 3253 1
60 487 1
423 2187 1
409 2207 1
112 1606 1
29 113 1
29 3599 -1
50 97 1
311 667 1
253 676 1
21 2772 1
1186 1366 1
446 998 1
109 439 1
53 199 1
176 3567 1
276 1141 1
30 1735 1
3 149 1
9 158 1
214 321 1
73 1258 1
59 133 1
7 700 1
33 707 1
442 3565 -1
800 2229 1
3 250 1
3 511 1
22 1130 1
18 127 1
123 331 -1
0 3209 1
14 154 1
25 215 1
567 1632 1
49 181 1
675 2591 1
5 111 1
8 347 1
0 2270 1
129 567 1
67 3782 -1
7 664 -1
176 192 1
551 1310 1
85 163 1
1400 3730 1
501 715 1
112 144 1
931 2074 1
8 196 1
57 2418 1
155 160 1
196 243 1
345 941 1
10 303 1
3 139 1
530 839 1
169 1804 1
24 61 1
35 171 1
5 116 1
145 1509 1
0 2745 1
105 738 1
102 140 1
2335 3722 -1
14 2436 1
1020 2026 1
402 1158 -1
0 3605 1
612 1336 1
54 79 1
174 1964 1
1863 3519 1
648 1196 1
1 42 1
25 385 1
42 3661 -1
408 1969 1
95 110 1
148 530 1
621 1017 1
2 10 1
3464 3678 -1
7 3399 1
10 679 -1
546 1483 1
66 421 1
38 923 1
128 502 1
25 1377 1
49 1754 1
0 473 1
2083 2674 1
40 3467 1
32 136 1
641 1524 1
33 140 1
126 2397 1
1 180 1
144 3506 -1
573 724 1
224 259 1
3777 3782 1
10 50 1
263 1456 1
3 110 1
318 3588 1
5 3191 1
35 57 1
5 393 1
176 1309 1
715 1629 1
1829 3732 -1
8 141 1
48 189 1
548 3781 1
42 1516 1
176 2303 1
1 237 1
68 1301 1
89 116 1
126 177 1
1789 3464 1
16 945 1
6 84 1
215 440 1
387 490 1
6 149 1
6 3010 1
201 2635 1
102 3773 1
8 31 1
116 3603 -1
515 1290 1
238 3514 -1
136 1780 1
224 1618 1
37 743 1
217 1364 1
1 646 1
10 693 1
26 3165 1
370 1172 1
23 176 1
1015 2369 1
36 593 1
0 1166 1
1052 2284 1
91 3207 1
19 64 1
271 425 1
21 144 1
142 1499 1
178 1690 1
8 3746 -1
14 233 1
447 922 1
3 569 1
88 394 1
1334 1807 1
104 483 1
10 77 1
113 3493 1
4 601 1
6 95 1
25 230 1
259 939 1
446 1970 1
652 1073 1
24 54 1
4 261 1
35 48 1
823 3557 1
178 3782 -1
57 636 1
24 96 1
5 753 1
5 3228 1
86 156 1
44 201 1
54 389 1
60 2267 1
329 694 1
72 882 1
7 123 1
44 919 1
110 3780 -1
143 1192 1
40 355 1
4 1490 1
24 2979 1
2279 3464 1
528 1209 1
32 2104 1
31 484 1
590 3706 -1
166 2658 1
23 817 1
4 23 1
98 1641 1
1157 3781 -1
176 3777 -1
567 938 1
160 689 1
9 56 1
3 38 1
259 1134 1
63 232 1
91 92 1
81 221 1
57 279 1
16 1281 1
0 2234 1
1 298 1
150 2398 1
297 1934 1
136 2093 1
362 431 1
56 303 1
86 701 1
121 158 1
13 1482 1
582 627 1
114 154 1
104 350 1
22 43 1
1225 2476 1
251 3782 -1
32 182 1
539 862 1
183 3782 -1
56 993 1
165 1153 1
476 576 1
107 545 1
585 1282 1
53 147 1
7 135 1
656 1643 1
5 3598 1
20 76 1
84 96 1
461 3325 1
31 123 1
3698 3749 1
16 39 1
38 75 1
9 129 1
875 1339 1
25 803 1
32 203 1
159 293 1
31 190 1
2 432 1
68 1759 1
43 441 1
43 57 1
2 330 1
42 176 1
118 3482 -1
481 3781 1
72 119 1
29 2255 1
50 370 1
5 7 1
48 114 1
554 761 -1
21 1217 1
1 187 1
128 1405 1
104 829 1
8 21 1
295 945 1
9 346 1
120 2837 1
26 640 1
5 202 1
7 2171 1
97 905 1
28 177 1
0 1317 1
0 3334 1
15 1089 1
31 520 1
86 95 1
12 1532 1
29 295 -1
144 3383 1
40 359 1
15 418 1
28 115 1
280 374 1
48 1197 1
2786 3581 -1
21 25 1
8 2123 1
86 2416 1
331 1523 1
12 598 1
62 335 1
336 1904 1
173 265 1
1 17 1
176 1327 1
2 1833 1
252 288 1
323 2034 1
283 480 1
4 173 1
0 622 1
26 2417 1
49 3677 1
624 1468 1
323 657 1
9 270 1
3295 3298 1
223 2463 1
3661 3691 1
48 1559 1
2 3610 1
17 865 1
56 2136 1
666 779 1
604 3409 1
14 273 1
18 707 1
1739 3567 1
8 210 1
0 3519 1
88 372 1
56 78 1
71 3482 1
0 1499 1
114 218 1
23 189 -1
681 1700 1
176 1346 1
172 1369 1
14 50 1
101 108 1
29 1420 1
25 278 1
26 35 1
124 563 1
89 840 1
11 3292 1
117 221 1
92 763 1
26 3486 1
13 547 1
187 2335 -1
11 1042 1
16 271 1
3708 3759 1
228 288 1
48 3288 1
166 3742 1
1660 3742 1
38 2629 1
327 2660 1
25 46 1
423 644 -1
249 405 1
979 3690 -1
349 695 1
40 153 1
43 1077 1
120 231 1
507 608 1
540 1121 1
206 3773 -1
407 985 1
33 66 1
397 705 1
3 21 1
78 731 1
84 702 -1
139 670 1
7 747 1
0 2631 1
0 1482 1
52 753 -1
823 1589 1
224 233 1
124 428 1
10 266 1
198 3474 1
140 2324 1
1 89 1
6 28 1
43 444 1
8 942 1
150 3276 1
3716 3734 1
22 1079 1
797 2870 1
11 824 1
2395 3622 -1
38 483 1
98 2623 1
125 232 1
290 1899 1
18 144 1
219 823 1
141 516 1
9 3512 1
20 1985 1
1061 1175 1
2 227 1
7 3745 -1
161 207 1
0 332 1
41 1268 1
149 679 1
765 905 1
228 3703 1
11 529 1
2 288 1
29 875 1
21 560 1
50 795 1
4 3663 -1
167 3782 -1
12 1812 1
150 2392 1
794 2528 1
1073 1074 1
266 442 1
535 1964 1
60 3097 1
0 159 1
411 1852 1
63 191 1
130 168 1
241 3464 1
319 434 1
223 1652 1
24 328 1
11 375 1
96 135 1
57 3756 -1
32 2121 1
38 407 1
23 132 1
9 1771 1
45 2269 1
140 3388 1
11 3763 1
144 638 -1
140 287 1
10 210 1
3565 3728 1
196 3781 1
21 3758 -1
149 3780 -1
399 497 1
65 482 1
34 97 1
707 3665 -1
1186 3198 1
8 2759 1
38 3781 1
22 1455 1
279 1172 1
8 621 1
12 3656 -1
688 1159 1
189 3740 -1
1 8 1
1975 2577 1
60 1273 1
45 1800 1
0 1135 1
1 317 1
91 647 1
614 1440 1
463 984 1
35 3253 1
3 770 1
187 488 1
699 799 1
381 1003 1
152 153 1
7 111 1
143 3593 1
271 3771 -1
20 172 1
57 153 1
46 77 1
232 268 1
1165 2250 1
29 176 -1
18 57 1
446 731 1
2 294 1
10 204 1
218 1710 1
98 561 1
124 375 1
90 118 1
526 3488 1
128 564 1
42 305 1
238 3601 1
0 257 1
232 3427 -1
77 1020 1
165 346 1
7 3536 -1
7 317 1
0 2706 1
40 3464 1
107 129 1
356 3781 1
94 2303 1
32 111 1
3 1085 1
320 3738 1
109 518 1
16 941 1
66 1842 1
29 642 1
14 1904 1
61 586 1
0 2184 1
77 259 1
230 1132 1
867 1584 1
238 666 1
26 1126 1
2003 3551 1
151 3730 1
84 191 -1
18 2387 1
96 995 1
10 1753 1
133 1849 1
12 70 1
32 840 1
187 3728 -1
165 2239 1
36 184 1
98 841 1
37 2806 1
45 456 1
15 64 1
271 1291 -1
22 468 1
352 3464 -1
4 249 1
235 933 1
1245 3742 1
168 208 1
114 2301 1
9 2128 1
176 403 1
244 1888 1
19 365 1
25 65 1
312 407 1
416 3769 -1
1949 3591 1
17 71 1
27 1457 1
3 418 1
112 176 1
77 549 1
1077 1907 1
15 508 1
27 930 1
24 2307 1
18 397 1
1 1486 1
0 593 1
7 3534 -1
29 2969 1
63 86 1
55 146 1
611 1668 1
465 657 1
92 247 1
1260 2711 1
250 2481 1
432 3773 -1
38 2069 1
174 312 1
31 42 1
34 3740 -1
67 1104 1
83 717 1
25 1457 1
47 269 1
392 2211 1
693 811 1
42 369 -1
48 1194 1
3 1008 1
95 268 1
576 3754 -1
0 376 1
71 2767 1
16 621 1
955 2217 1
149 1039 1
0 2906 1
1637 2654 -1
16 158 1
371 1375 1
68 2240 1
176 3759 -1
60 952 1
9 39 1
182 312 1
68 737 1
147 1912 1
57 3730 -1
3 44 1
1485 1630 1
618 1687 1
42 3766 -1
10 68 1
476 607 1
161 330 1
39 2304 1
4 162 1
7 3653 -1
141 3464 1
53 468 1
37 1304 1
5 24 1
35 206 1
39 1178 1
125 388 1
5 700 1
1656 2010 1
434 1824 1
1062 2224 1
84 156 1
438 1043 1
53 270 1
1 680 1
49 405 1
2335 3435 1
39 383 1
94 2256 -1
128 771 1
35 1172 1
38 728 1
98 659 1
3 230 1
78 211 1
65 189 1
10 190 -1
367 1403 1
16 806 1
3 400 1
42 750 1
442 3742 -1
255 942 1
0 2999 1
131 1704 1
48 1557 1
128 1084 1
7 1032 1
94 881 1
16 87 1
9 257 1
124 252 1
858 2702 1
1774 3743 1
0 1354 1
86 1044 1
20 129 1
108 3464 -1
84 966 1
1567 3773 -1
1 21 1
40 265 1
2 74 1
1 1935 1
66 69 1
133 2992 1
7 265 1
411 495 1
1127 3781 1
1322 3773 1
647 820 1
7 2407 1
9 685 1
144 380 -1
58 2363 1
150 284 1
341 1679 1
54 1945 1
17 859 1
155 1024 1
225 513 1
86 3730 -1
274 1261 1
128 988 1
42 1567 1
138 2517 1
29 81 1
1929 3747 -1
37 345 1
176 489 1
372 2280 1
0 1749 1
237 1094 1
228 246 1
447 1102 1
296 1220 1
138 327 1
530 1632 1
19 187 1
1 1367 1
14 3696 -1
0 3588 1
86 1862 1
528 676 1
42 105 1
10 869 1
2 434 1
9 51 1
44 1105 1
0 2774 1
540 1259 1
40 121 1
179 399 1
42 1309 1
39 3032 1
23 3781 1
22 1219 1
57 319 1
3018 3743 1
82 170 1
2326 3773 1
184 581 1
24 139 1
2 3514 1
26 320 1
196 1793 1
3 1238 1
1450 2643 1
1 64 1
32 1795 1
26 3475 1
17 3550 1
144 3743 -1
72 111 1
67 626 1
672 739 1
440 1236 1
392 3588 1
37 2913 1
48 3775 -1
53 225 1
81 157 1
152 930 1
18 3184 1
244 375 1
442 823 -1
1 1008 1
10 493 1
35 81 1
17 293 1
2 3086 1
181 777 1
50 2886 1
905 2335 1
25 283 1
0 415 1
45 812 1
9 98 1
217 1442 1
2042 3742 1
133 3781 -1
136 2525 1
0 1811 1
784 1248 1
16 96 1
42 1790 1
145 276 1
546 2145 1
19 197 1
150 217 1
0 3123 1
36 3581 1
51 263 1
18 331 1
8 1708 1
3119 3593 1
431 603 1
16 314 1
152 514 1
12 3060 1
10 410 1
707 3667 -1
172 375 1
166 327 1
3 1106 1
24 3081 1
37 873 1
0 350 1
14 3095 1
397 3358 1
2 817 1
1385 3571 1
64 76 1
89 569 1
120 504 1
5 184 1
198 439 1
45 177 1
64 108 1
129 1658 1
0 3148 1
26 198 1
23 3464 1
253 1457 1
24 2134 1
14 184 -1
121 2773 1
535 3774 -1
410 3766 1
48 3519 1
835 3178 1
1 118 1
38 3782 -1
64 2017 1
176 1178 1
300 1364 1
1193 1868 1
44 325 1
276 388 1
10 154 1
25 34 1
59 268 1
103 377 1
0 2961 1
0 2903 1
27 2584 1
8 32 1
14 280 1
336 3513 1
0 1060 1
2970 2974 1
574 855 1
26 28 1
144 336 -1
217 3782 -1
16 30 1
301 497 -1
22 1081 1
7 173 1
731 2108 1
4 825 1
246 1574 1
171 176 1
112 552 1
2 9 1
14 374 1
3574 3698 1
1 1408 1
17 2692 1
29 756 1
255 3770 -1
44 225 1
3393 3769 1
14 3285 1
1158 3782 -1
63 2428 1
831 2419 1
21 190 1
23 493 1
113 3738 -1
3 249 1
155 161 1
104 314 1
17 219 1
613 706 1
584 1858 1
152 1464 1
10 46 1
0 1582 1
21 345 1
91 957 1
19 271 1
361 2191 -1
9 88 1
9 48 1
2 295 1
35 3186 1
56 2765 1
0 3061 1
78 1272 1
3 1217 1
91 140 1
61 884 1
103 496 1
30 277 1
39 1599 1
21 39 1
156 588 1
0 1707 1
71 218 1
1819 2335 1
81 218 1
78 925 1
547 1348 1
131 230 1
16 1734 1
11 1321 1
3179 3505 -1
116 259 1
0 3063 1
84 1161 1
229 1072 1
823 3730 -1
292 401 1
1567 3775 -1
99 3756 1
487 971 1
217 260 1
44 2540 1
23 190 1
32 69 1
4 817 1
166 985 1
176 809 1
84 2368 1
5 74 1
20 109 1
73 823 1
26 80 1
33 350 1
240 2399 1
23 116 1
552 3152 1
279 1031 1
235 1972 1
10 1189 1
187 3776 -1
25 1875 1
20 46 1
164 488 1
3227 3481 1
10 86 1
72 493 1
63 2335 1
48 331 1
20 27 1
245 329 1
479 1106 1
14 3492 1
3 3728 1
172 1836 1
25 57 1
1 50 1
3 2200 1
97 163 1
112 3758 -1
667 3551 1
11 32 1
1440 3742 1
84 249 1
369 797 1
336 1589 1
105 2040 1
487 596 1
2 756 1
322 3464 -1
0 1312 1
1669 3742 1
16 638 1
26 3763 1
172 665 1
184 329 1
14 21 1
22 500 1
10 1310 1
313 515 1
63 245 1
501 3730 1
856 1209 1
1158 3453 -1
46 3782 -1
61 1784 1
34 993 1
71 98 1
63 69 1
31 202 1
25 50 1
72 221 1
91 237 1
223 353 1
11 291 1
272 670 1
10 294 1
120 401 1
5 814 1
26 91 1
130 862 1
95 374 1
40 2243 1
66 987 1
51 361 1
4 41 1
85 3571 -1
113 3428 1
525 3769 1
24 1031 1
426 461 1
34 3454 1
191 557 1
88 174 1
7 334 1
116 798 1
39 270 1
0 1735 1
83 338 1
29 40 1
825 1892 1
37 1482 1
354 443 1
359 490 1
2 23 1
42 693 1
1 423 1
39 2139 1
129 254 1
48 756 1
39 1477 1
12 3758 1
16 1470 1
45 60 1
5 14 1
14 195 1
12 1807 1
165 3469 -1
0 2333 1
165 204 1
0 1723 1
615 1445 1
56 255 1
40 160 1
163 1903 1
26 3609 1
52 331 1
36 473 1
126 3709 1
41 80 1
14 90 1
14 132 1
1432 3551 1
11 31 1
508 877 1
134 3266 1
3 625 1
14 87 1
13 585 1
20 32 1
177 3699 1
598 1531 1
277 1161 1
1621 2539 1
11 155 1
690 1366 1
41 82 1
90 151 1
4 1871 1
91 131 1
43 128 1
17 2090 1
1268 2084 1
57 348 1
201 302 1
184 595 -1
408 3781 1
36 3626 -1
50 2797 1
78 2669 1
128 986 1
162 461 1
12 3468 1
49 148 1
16 579 1
381 776 1
4 313 -1
978 1175 1
34 490 1
32 1759 1
180 2011 1
108 477 1
574 1434 1
46 3781 1
80 2356 1
138 3738 1
2 1814 1
330 3512 1
15 249 1
15 709 1
229 497 1
210 271 1
0 1176 1
0 3069 1
76 154 1
0 2180 1
5 3622 1
23 46 1
68 856 1
8 255 1
120 632 1
506 3464 -1
612 875 1
34 1657 1
105 508 1
455 1334 1
1 167 1
144 297 1
71 361 -1
30 44 1
213 695 1
40 318 1
160 634 1
40 940 1
368 674 1
10 3755 -1
139 679 1
29 749 1
231 1726 1
688 3758 1
0 1504 1
0 1194 1
3464 3585 -1
1 2838 1
1234 1700 1
188 1423 1
199 2449 1
21 2335 1
49 1003 1
194 3676 1
53 144 1
110 3782 -1
0 528 1
46 158 1
101 1516 1
4 598 1
50 1808 1
7 2954 1
63 241 1
2 11 1
983 2425 1
862 2067 1
91 461 1
2 134 1
229 399 1
8 36 1
42 2442 1
56 2636 1
135 961 1
0 275 1
41 44 1
451 3743 1
177 1353 1
45 2717 1
124 288 1
162 3738 -1
37 2576 1
6 751 1
0 2783 1
5 189 1
51 192 1
10 2917 1
25 104 1
119 221 1
113 268 1
256 3566 1
953 1382 1
28 3690 1
251 342 1
25 330 1
128 421 1
644 3164 1
14 899 1
11 1184 1
0 3299 1
4 758 -1
9 165 1
20 1003 1
1327 3464 -1
49 1666 1
43 714 1
2 6 1
891 3553 -1
1199 3383 1
396 706 1
2 751 1
66 135 1
94 751 1
101 1246 1
